LAI,LCC,CCC,B2,B3,B4,B5,B6,B7,B8A,B8,B11,B12,CI_green,CIre_705,CIre_740,ireci,mcari,mtci,ndi45,NDVIre,reip,RERI_705,RERI_783,s2rep,SeLI
3.84,34.038,130.70592,0.022,0.05075,0.0372,0.077500001,0.222500004,0.27775,0.305199996,0.294049993,0.166199997,0.088400003,4.796271563,2.796650767,0.321535066,0.741921872,0.072243206,5.439150333,0.349554166,0.582785517,726.4861145,0.132052541,0.65609926,726.4861145,0.5949893
1.9,39.69,75.411,0.0204,0.052674999,0.041125,0.08255,0.212824997,0.262174994,0.289324999,0.275200009,0.17055,0.09075,4.226449251,2.335911334,0.292993799,0.596262202,0.068762578,4.692607164,0.32670518,0.538381845,725.1060333,0.143190701,0.620706812,725.1060333,0.555982277
2.18,44.496,97.00128,0.019433334,0.048866668,0.036066667,0.076200001,0.213266666,0.2679,0.295766671,0.285766671,0.161733334,0.081366668,4.848961512,2.750079393,0.339945883,0.701834043,0.072838326,5.27599891,0.355473697,0.578939557,726.8087972,0.135703589,0.648154696,726.8087972,0.59027348
2.02,40.284,81.37368,0.0176,0.04785,0.035600001,0.074750002,0.212500006,0.268899992,0.293850005,0.281149998,0.160400003,0.082150001,4.875975132,2.76149416,0.323078409,0.691080153,0.067399137,5.355635405,0.343809396,0.57994312,726.1649475,0.133231394,0.66071701,726.1649475,0.594418466
2.88,24.903,71.72064,0.0192,0.049633333,0.037833334,0.0794,0.2107,0.263166656,0.293233335,0.276666661,0.162633335,0.084266668,4.575266838,2.483974934,0.312826167,0.629965782,0.073218438,4.776333332,0.349378238,0.553870142,725.6759237,0.141776318,0.626804431,725.6759237,0.573837161
3.39,42.318,143.45802,0.0192,0.049133333,0.0367,0.077333334,0.215833336,0.272066673,0.300433338,0.287033329,0.162533333,0.084733332,4.842771848,2.712364435,0.329852402,0.693555017,0.070495655,5.243358294,0.346688141,0.575485885,726.3097331,0.13526989,0.648198764,726.3097331,0.590545734
3.08,33.327,102.64716,0.022700001,0.055200001,0.047499999,0.090300001,0.213833332,0.26153333,0.290999999,0.275600006,0.176266665,0.1005,4.02097098,2.092373053,0.291253606,0.539490779,0.049863468,5.48972257,0.25205798,0.50878946,727.0868734,0.146546448,0.589131097,727.0868734,0.528582255
2.07,33.939,70.25373,0.022233333,0.055033334,0.048733335,0.093133333,0.216366664,0.260966669,0.293966661,0.27306667,0.185933332,0.104366665,3.964216948,1.935008407,0.263439581,0.534265786,0.06445082,4.49232769,0.294759671,0.491204053,725.6474813,0.151039342,0.570195357,725.6474813,0.518561115
1.78,23.706,42.19668,0.021275,0.0514,0.047075,0.086950002,0.191675,0.230074998,0.258850008,0.24385,0.173,0.095349999,3.745466352,1.804959625,0.27229239,0.433591776,0.061256373,3.986204147,0.297576971,0.474177152,724.5464935,0.154025473,0.552841321,724.5464935,0.497065477
2.82,23.238,65.53116,0.019625,0.0488,0.041800001,0.079325002,0.183024999,0.222299997,0.250525001,0.234599996,0.164499998,0.090399999,3.806288064,1.958367884,0.281432465,0.45070567,0.057664376,4.310880125,0.302395962,0.494309679,725.4891968,0.149794817,0.570417598,725.4891968,0.518887296
2.77,36.27,100.4679,0.020000001,0.047866667,0.045733333,0.082800001,0.168533335,0.200733334,0.228833328,0.215433334,0.169000005,0.095766666,3.500349204,1.603952726,0.278609082,0.349014789,0.057148263,3.551744541,0.296480705,0.444681843,724.6015625,0.162020981,0.515250683,724.6015625,0.468628774
2.26,37.737,85.28562,0.021175,0.048675001,0.045925001,0.084075002,0.166999999,0.199675001,0.227725003,0.213950001,0.173,0.101325,3.394840062,1.54447788,0.280843005,0.334296159,0.057067436,3.414590001,0.293024495,0.435507484,724.4014893,0.167493563,0.507539488,724.4014893,0.460647888
2.39,31.158,74.46762,0.02125,0.050125,0.0458,0.083075,0.174199998,0.2075,0.233875003,0.220874999,0.173900001,0.1011,3.406687975,1.658790022,0.267862953,0.360898234,0.05334468,3.774504662,0.280276503,0.453078397,724.1107178,0.159249008,0.53162545,724.1107178,0.475553818
2.03,31.014,62.95842,0.020225,0.04855,0.042675,0.07745,0.170275003,0.206625,0.233000003,0.218725003,0.170800004,0.098274998,3.505892932,1.825003654,0.284748796,0.384736799,0.051538844,4.08489728,0.285072781,0.476904429,724.9658203,0.149353817,0.554177955,724.9658203,0.500886731
2.5,37.719,94.2975,0.020966667,0.0481,0.043466667,0.078733335,0.172000001,0.207933336,0.2374,0.2198,0.169466664,0.097733334,3.569215775,1.791205883,0.277952611,0.395253539,0.058681337,3.854643742,0.310007284,0.472399046,724.9582926,0.148588459,0.543838779,724.9582926,0.501746515
2.46,31.671,77.91066,0.024233333,0.057700001,0.054166667,0.102533333,0.201199998,0.233866672,0.265500004,0.245833327,0.194700003,0.119066668,3.269424041,1.4222097,0.224969844,0.364714394,0.085468558,2.676284711,0.335038076,0.413472285,719.5559489,0.181559841,0.495799392,719.5559489,0.444724649
3.15,47.187,148.63905,0.021133333,0.050466665,0.043533334,0.079866668,0.199899996,0.2418,0.26760001,0.253333335,0.173966666,0.098333334,4.027192434,2.198306044,0.268763363,0.523783386,0.067353979,4.471458276,0.325784763,0.521995356,723.8890991,0.13530952,0.605726838,723.8890991,0.541613579
3.35,30.447,101.99745,0.01935,0.047774999,0.038825001,0.075925002,0.188900001,0.231699999,0.257600002,0.244749997,0.154375002,0.081975,4.123241782,2.223846257,0.295768835,0.51674097,0.060542042,4.676525116,0.318183213,0.526489243,725.8310089,0.143954203,0.604672864,725.8310089,0.544716954
3.19,44.793,142.88967,0.019,0.04975,0.038600001,0.077875001,0.194525,0.237199999,0.261824995,0.24935,0.152725,0.080800001,4.013360202,2.202001095,0.281879269,0.52888909,0.066909131,4.425061941,0.334696189,0.523997501,725.0514832,0.150001373,0.608484328,725.0514832,0.541503549
3.22,38.763,124.81686,0.0196,0.051333334,0.039333335,0.080700003,0.204966669,0.246766667,0.272866666,0.260733336,0.154533332,0.080500002,4.083788633,2.233568827,0.271946212,0.566348354,0.073134072,4.36440436,0.346509914,0.527091761,724.6347453,0.151676198,0.608364801,724.6347453,0.543359101
3.16,25.326,80.03016,0.0201,0.052533332,0.0399,0.084700001,0.213966668,0.25833333,0.287033334,0.267333334,0.158266669,0.083299999,4.084233363,2.152603785,0.25090906,0.612622778,0.083632958,4.383597215,0.35779645,0.518114507,725.5105184,0.156088303,0.604164521,725.5105184,0.54277875
3.19,35.91,114.5529,0.019833333,0.047533333,0.039666668,0.075866667,0.192033331,0.235633334,0.261033336,0.248500004,0.161666666,0.086866667,4.228051503,2.276010116,0.29406629,0.537799736,0.059056168,4.839796861,0.315560212,0.53222241,726.0287882,0.138705596,0.612010439,726.0287882,0.549598038
3.13,33.399,104.53887,0.0201,0.046949999,0.04005,0.076575,0.188799996,0.232700001,0.259099998,0.245125003,0.160750002,0.088125,4.221444964,2.201947331,0.298389733,0.503851674,0.059997998,4.522482276,0.318599299,0.523864448,725.3220825,0.141007978,0.602553889,725.3220825,0.543714464
3.24,45.81,148.4244,0.021233334,0.049666667,0.0443,0.080899999,0.18553333,0.225900004,0.250666673,0.237966662,0.164599995,0.091166665,3.798316876,1.959371249,0.282420695,0.424256672,0.046149244,4.474311829,0.259040534,0.490711381,724.2434489,0.146389296,0.57527407,724.2434489,0.510274082
3.19,17.352,55.35288,0.021033334,0.052666667,0.047366668,0.0895,0.195966671,0.235733335,0.266166667,0.248566662,0.172833333,0.099066667,3.726318121,1.79125154,0.272594541,0.458921274,0.071656033,3.815582991,0.323797176,0.470915188,725.3103231,0.157900016,0.548388898,725.3103231,0.49706618
4.96,47.691,236.54736,0.018775,0.0455,0.036025001,0.07075,0.2119,0.270849995,0.296574995,0.282600008,0.158975001,0.083750002,5.217957377,2.999329686,0.334652193,0.731151178,0.053046942,6.351366043,0.305359177,0.598928288,726.958725,0.117329191,0.673936605,726.958725,0.614145726
4.61,32.382,149.28102,0.0194,0.047025001,0.036575001,0.071725002,0.203950003,0.257649995,0.283924997,0.269750006,0.156849999,0.084275,4.743884325,2.766702056,0.322440349,0.672566772,0.060037997,5.718730688,0.326612957,0.579649061,726.896698,0.123866472,0.654552594,726.896698,0.596498668
4.74,40.644,192.65256,0.0198,0.047833333,0.036733333,0.073466666,0.207633336,0.264500002,0.285366664,0.277399997,0.156833336,0.082800001,4.799631119,2.776066224,0.336261074,0.687085013,0.06690416,5.466172536,0.345367531,0.58122019,726.8596191,0.128705936,0.669443607,726.8596191,0.590418617
5.31,54.279,288.22149,0.0219,0.049925,0.044425,0.081425002,0.205850001,0.256900005,0.283725001,0.269850008,0.179874998,0.103675,4.41035068,2.335766971,0.311811388,0.575913638,0.062980053,4.962965786,0.313532747,0.537257671,725.87883,0.130074745,0.618837953,725.87883,0.554911122
5.18,55.764,288.85752,0.01935,0.04445,0.035500001,0.068,0.208050005,0.27155,0.298600003,0.289350003,0.159200005,0.083999999,5.515313625,3.258028746,0.390046701,0.815832824,0.05542594,7.039734364,0.321557462,0.618802041,729.9443665,0.108852435,0.680991083,729.9443665,0.628558099
5.75,43.2,248.4,0.01935,0.04335,0.035724999,0.066450002,0.208799999,0.271499991,0.299749993,0.287949994,0.154475,0.080274999,5.643762469,3.333586335,0.379112341,0.816342592,0.049584051,7.374397516,0.304863565,0.62495482,729.302475,0.102534642,0.684091046,729.302475,0.637019649
5.57,31.086,173.14902,0.01955,0.045875,0.039349999,0.0713,0.197075002,0.250574999,0.278400004,0.261799999,0.162249997,0.088675,4.711090088,2.679690957,0.328302711,0.619389504,0.048357924,6.099209905,0.285099246,0.571544886,727.2840576,0.114802402,0.643805683,727.2840576,0.592199564
5.48,50.787,278.31276,0.01935,0.0461,0.03435,0.071199998,0.226049997,0.29095,0.319350004,0.313549995,0.157449998,0.079749998,5.802378654,3.403797269,0.387172103,0.888749868,0.065424819,6.626703501,0.347240135,0.629889876,728.328064,0.115395114,0.688101858,728.328064,0.635375828
5.46,43.263,236.21598,0.0182,0.04415,0.032950001,0.067299999,0.227200001,0.301100001,0.326800004,0.3134,0.154600002,0.0759,6.098922014,3.66061151,0.379438654,0.946695447,0.061681777,7.105747223,0.346009225,0.646452576,728.0768433,0.105113912,0.715417832,728.0768433,0.658488721
5.33,63.621,339.09993,0.018733334,0.046366668,0.0341,0.0744,0.228533333,0.294733336,0.319666664,0.308766663,0.156233331,0.079166668,5.661382516,3.150973956,0.351107995,0.865367432,0.07814194,5.897185961,0.37838915,0.611684124,727.707723,0.126062314,0.689235012,727.707723,0.622413437
5.29,57.672,305.08488,0.019825,0.048049999,0.035724999,0.074424999,0.229400001,0.292675003,0.318599999,0.304875001,0.157025002,0.080599999,5.366611838,3.111470461,0.328423046,0.856206164,0.070697553,6.105098963,0.355550565,0.606903687,727.3338776,0.121711768,0.684545174,727.3338776,0.62091881
